Bank Soal;A;B;C;D;kunci;Difficulty;Tipe Soal;Kategori
Menurut sejarah, kentang ditanam petani Peru sejak 2.000 tahun lalu pada 1524, saat tentara Spanyol mendarat di sana, kentang, kacang tanah, dan merica mulai dikenal dunia. Seorang tentara Spanyol tertarik pada kentang yang tumbuh subur di Desa Sorocota, di Pegunungan Andes, Peru. Ia membawanya ke Spanyol. Setelah mendarat di Spanyol, ia menyebarkannya ke seluruh penjuru Eropa.  @Pernyataan yang sesuai dengan isi teks tersebut adalah...;Penyebar kentang di Eropa adalah tentara Spanyol.;Kentang merupakan makanan pokok tentara Spanyol.;Penemuan kacang tanah dan kentang dilakukan dengan sengaja.;Ketertarikan tentara Spanyol pada kentang karena ditanam di Peru.;A;3;PG4;Soal Bacaan
Seseorang akan diuji dengan yang dia miliki. Ketika memiliki ilmu, dia akan diuji dengan seberapa jauh kemampuannya memanfaatkan ilmu. Ketika mempunyai harta, dia akan diuji dengan keikhlasannya mendistribusikan hartanya untuk orang lain. Di saat menduduki suatu jabatan, ia akan diuji dengan seberapa jauh kemampuannya mempertanggungjawabkan wewenang yang diembannya.  @Ide pokok paragraf tersebut adalah...;Ujian hidup seseorang;Kebahagiaan keluarga;Seseorang yang memiliki harta;Tanggung jawab wewenang;A;3;PG4;Soal Bacaan
(1) Pembiasaan anak-anak akrab dengan buku seharusnya sudah ditanamkan semenjak mereka duduk di bangku taman kanak-kanak (TK). (2) Setiap TK sebaiknya memiliki perpustakaan (3) Mulai TK, siswa digiring akrab dan cinta pada buku. (4) Walaupun anak TK masih belum bisa membaca, tetapi mereka menyukai gambar berwarna-warni. @Kalimat utama paragraf berikut ditandai dengan nomor...;1;2;3;4;A;3;PG4;Soal Bacaan
Hubungan atau keterikatan emosional antara orang tua dan anak adalah anugerah alami yang dimiliki setiap orang tua dalam mengasuh dan membesarkan anak-anak mereka. Orang tua secara alamiah telah melakukan tugas dan fungsi pengasuhan anak sejak peran sebagai orang tua dimulai. Akan tetapi, dalam realitasnya tetap diperlukan pengetahuan dalam khazanah pengasuhan anak remaja agar mereka tidak terlibat dalam penyalahgunaan narkotika dan obat-obat terlarang. @Simpulan yang tepat untuk paragraf di atas adalah...;Orang tua berkewajiban membesarkan anak-anak mereka.;Orang tua memerlukan bekal pengetahuan dalam mengasuh anak.;Anak dan orang tua dalam pengasuhan memiliki hubungan emosional.;Keterikatan emosional antara anak dan orang tua penting.;D;3;PG4;Soal Bacaan
(1) Pada semester akhir, mahasiswa Perguruan Tinggi yang menempuh pendidikan sarjana ditugaskan untuk menyusun skripsi. (2) Mereka bebas memilih judul untuk skripsi, asalkan sesuai dengan mata kuliah yang dipelajarinya. (3) Namun umumnya, mahasiswa akan dibimbing oleh dua orang dosen. (4) Pembimbingan bertujuan agar mahasiswa tetap mengikuti pedoman, dan aturan. (5) Hal tersebut sangat membantu mahasiswa saat menemui kendala dalam penyusunan skripsinya. @Kalimat yang terbebas dari kesalahan ejaan adalah...;5;4;3;2;A;3;PG4;Soal Bacaan
(1) Badan Pengawas Pemilihan Umum (Bawaslu) merilis indeks kerawanan pemilu (IKP) pemilihan kepala daerah 2018. (2) Itu merupakan upaya Bawaslu melakukan pemetaan dan deteksi dini terhadap berbagai potensi pelanggaran dan kerawanan pilkada 2018. (3) Bawaslu menyusun IKP menggunakan tiga aspek utama, yakni penyelenggaraan, kontestasi, dan partisipasi. (4) Tiga aspek utama itu merupakan alat ukur penyelenggaraan pemilu yang demokratis, berkualitas, dan bermartabat. (5) Dimensi kontestasi mencakup subyek peserta pemilu, meliputi partai politik dan kandidat. (6) Dalam dimensi ini dilihat seberapa adil dan setara proses pertarungan berlangsung di antara para kontestan. (7) Dimensi kedua adalah partisipasi, yaitu menyangkut subyek masyarakat sebagai pemilih, bagaimana hak masyarakat dijamin serta mereka diberi ruang berpartisipasi untuk mengawasi proses pemilu. (8) Dimensi ketiga adalah penyelenggaraan terkait dengan integritas dan profesionalitas penyelenggara dalam menjamin pemilu berjalan jujur, adil, dan demokratis. (9) IKP telah disusun sejak pemilihan legislatif 2014. (10) Akan tetapi, IKP pilkada 2018 disempurnakan agar lebih sederhana. @Penulisan kata yang tidak mengikuti kaidah ejaan terdapat pada kalimat...;2;9;4;5;D;3;PG4;Soal Bacaan
Pada dasarnya tujuan pendidikan adalah membentuk kepribadian peserta didik. Pembentukan tersebut dapat dilakukan dengan model langsung dan inkulkasi. Model langsung adalah pembentukan moral melalui bidang ajar yang terkait langsung dengan pendidikan karakter seperti agama dan budi pekerti, sedangkan model inkulkasi adalah penanaman nilai-nilai pendidikan karakter melalui bidang-bidang yang tidak terkait langsung, seperti bidang sains, teknologi, sosial. seni, dan olahraga. Idealnya, setiap mata pelajaran mempengaruhi cara berpikir dan bertindak peserta didik sehingga ikut membentuk karakter. @Masalah utama paragraf di atas adalah...;Pengaruh karakter terhadap cara berpikir peserta didik.;Model-model pendidikan karakter di sekolah.;Pembentukan kepribadian peserta didik.;Perlunya pendidikan karakter di sekolah-sekolah.;C;3;PG4;Soal Bacaan
Proses membaca yang dimulai dari memahami bacaan secara literal kemudian menginterpretasikan dan memberikan reaksinya berupa penilaian terhadap apa yang dikatakan penulis, dilanjutkan dengan mengembangkan pemikiran-pemikiran sendiri untuk membentuk gagasan, wawasan, pendekatan, dan pola-pola pikiran baru. @Membaca dengan cara tersebut merupakan membaca dengan pemahaman...;literal;kritis;kreatif;interpretatif;C;3;PG4;Soal Bacaan
Kecelakaan yang melibatkan bus dan truk di Jalan Negara-Gilimanuk menimbulkan kemacetan panjang sejauh 1 kilometer. Kecelakaan ini terjadi karena sopir truk sedang mabuk akibat mengonsumsi minuman keras sebelum berkendara. Ketika berada di Jalan Negara-Gilimanuk kilometer 20, bus melaju dari arah yang berlawanan. Sementara truk justru berpindah haluan di jalur kanan dan seketika kecelakaan hebat terjadi. Posisi bus mengguling ke tengah jalan sehingga tidak bisa dilewati kendaraan yang melintas. @Pokok utama dari paragraf ini adalah ...;Kecelakaan bus dan truk terjadi akibat sopir truk sedang mabuk.;Kecelakaan di Jalan Negara-Gilimanuk menyebabkan kemacetan panjang.;Kecelakaan di Jalan Negara-Gilimanuk terjadi di kilometer 20.;Truk berpindah haluan ke kanan pada saat ada bus yang melaju dari arah yang berlawanan.;B;3;PG4;Soal Bacaan
Lidah buaya adalah salah satu tanaman hias yang bisa dipelihara pada ruangan tertutup. Ada juga tanaman Monstera dan Anthurium yang tetap indah meski dibudidayakan dalam ruangan. Meski mendapatkan sedikit cahaya matahari, tanaman-tanaman hias ini tetap bisa tumbuh subur tanpa mengurangi keindahan tampilannya. Ini menjadi bukti bahwa tidak semua tanaman hias yang indah dan kaya manfaat sulit dibudidayakan di dalam ruangan. @Gagasan utama yang ingin disampaikan penulis pada paragraf di atas yaitu ...;Lidah buaya adalah tanaman hias yang bisa dipelihara di ruangan tertutup.;Monstera dan Anthurium termasuk salah satu tanaman yang bisa dibudidayakan dalam ruangan.;Tanaman hias tetap bisa tumbuh subur walaupun tidak mendapatkan cahaya matahari.;Tidak semua tanaman hias sulit dibudidayakan di dalam ruangan.;D;3;PG4;Soal Bacaan
Salah satu adat Jawa Timur yang berkaitan dengan orang meninggal adalah membuat acara tahlilan pada hari pertama hingga hari ke tujuh. Meski kegiatannya islami, nyatanya adat ini masih mengadopsi kepercayaan animisme dinamisme yang mempercayai roh orang mati masih berkeliaran hingga hari ke 40. Inilah yang menyebabkan para keluarga membuat acara tahlilan sebagai bentuk doa kepada yang sudah meninggal agar tenang dan amalnya diterima. @Gagasan pokok yang benar dari contoh soal ide pokok paragraf di atas yaitu ...;Adat Jawa Timur yang berkaitan dengan orang meninggal adalah mendoakan orang yang sudah mati hingga hari ke tujuh.;Adat di Jawa Timur masih mengadopsi kepercayaan animisme dinamisme.;Tahlilan pada hari pertama sampai ke tujuh adalah salah satu adat di Jawa Timur yang berkaitan dengan orang meninggal.;Keluarga orang yang sudah meninggal membuat acara tahlilan untuk mendoakan kerabatnya yang telah meninggal.;C;3;PG4;Soal Bacaan
Indonesia merupakan salah satu negara kepulauan yang memiliki kekayaan alam berlimpah. Ini disebabkan karena tanahnya yang subur dan letaknya yang cukup strategis. Sayangnya masyarakat Indonesia belum bisa mengelola sumber daya tersebut sehingga dimanfaatkan oleh negara lain. @Dari paragraf di atas, gagasan pokok yang bisa ditemukan adalah ...;Indonesia memiliki tanah yang subur dan letak yang strategis.;Masyarakat Indonesia belum bisa mengelola sumber daya alam.;Kekayaan alam di Indonesia dimanfaatkan oleh negara lain.;Indonesia adalah negara kepulauan yang memiliki kekayaan alam berlimpah.;A;3;PG4;Soal Bacaan
Sampah plastik sulit terurai di tanah. Apabila dibakar dapat menimbulkan pencemaran dan gangguan pernapasan. Selain itu sampah plastik dapat mencemari lingkungan. Itulah beberapa bahaya yang disebabkan dari sampah plastik. @Ide pokok paragraf tersebut adalah ...;Kantong plastik sulit terurai; Penyebab pencemaran udara;Plastik mencemari lingkungan;Beberapa bahaya sampah plastik;D;3;PG4;Paturng
Industri minyak bumi membuka berbagai macam lapangan pekerjaan. Penjualan minyak bumi yang tinggi menyebabkan pendapatan pekerja industri minyak meningkat. Ekspor dan impor minyak bumi mampu menggerakkan perekonomian dunia. Itulah manfaat minyak bumi dalam bidang ekonomi. @Ide pokok paragraf tersebut adalah ...;Menggerakkan ekonomi dunia;Manfaat ekonomi minyak bumi;Pendapatan pekerja minyak bumi;Peningkatkan pendapatan pekerja;B;3;PG4;Paturng
Memainkan alat musik sasando tidak mudah. Diperlukan harmonisasi perasaan dan teknik untuk menciptakan melodi melodi. Ini juga membutuhkan keterampilan jari untuk memetik senar seperti kecapi. @Gagasan utama dari bacaan di atas adalah ... ;Teknik bermain sasando;Bermain Sasando itu sulit;Bermain sasando tidak sulit;Karakteristik alat musik sasando;B;3;PG4;Paturng
Cecak memutuskan ekornya bila diserang musuh. Bunglon mengubah warna tubuhnya sesuai warna tempat merayapnya agar musuh terkelabuhi. Sedangkan landak menegakkan duri-duri tubuhnya saat musuhnya datang. Itulah beberapa cara hewan untuk mempertahankan diri dari predator. @Ide pokok paragraf tersebut adalah ...;Cara beberapa hewan menghadapi musuh;Kehidupan hewan di lingkungannya;Musuh-musuh beberapa hewan;Usaha hewan agar tetap hidup;A;3;PG4;Soal Bacaan
Berbagai penelitian telah membuktikan manfaat kopi bagi tubuh, mulai dari meningkatkan suasana hati dan metabolisme tubuh hingga menurunkan risiko terjadinya penyakit kardiovaskular, diabetes tipe 2, penyakit Parkinson, asam urat, dan kanker. Jika dikonsumsi dalam jumlah yang sesuai, yaitu tidak lebih dari 2-3 cangkir per hari, kopi umumnya aman bagi orang dewasa dan tidak merugikan kesehatan. Namun, efek samping kopi dapat muncul saat kopi dikonsumsi dalam jumlah yang berlebih, yaitu lebih dari 4 cangkir kopi per hari @Mana simpulan paragraf yang benar?;Banyak remaja yang sudah mulai mengkonsumsi kopi secara rutin;Kopi menjadi minuman favorit banyak orang karena khasiatnya;Efek samping kopi yang negatif dapat muncul walaupun dikonsumsi tidak lebih dari 4 cangkir kopi per hari;Minum kopi itu aman dan tidak merugikan kesehatan apabila diminum 1 cangkir saja per harinya. ;D;3;PG4;Paturng
Menurut National Institute of Mental Health, bipolar adalah gangguan mental yang menyebabkan perubahan yang ekstrem pada mood, energi, dan aktivitas. Perubahan yang ekstrim itu bikin konsentrasi dan kemampuan orang yang mengalami gangguan bipolar jadi sulit berkonsentrasi, ngelakuin rutinitas sehari-hari, bahkan hubungan dengan orang lain juga bisa terganggu. @Jika dilihat dari pola pengembangan paragraf, paragraf di atas menggunakan pola pengembangan paragraf .... ;Definisi ;Sebab akibat;Perbandingan ;Analogi ;A;3;PG4;Soal Bacaan
Penyebab polusi suara seperti kereta api, mobil, pesawat, motor, dan helikopter yang memiliki suara yang keras dan berbahaya bagi kehidupan manusia. Polusi suara berbahaya bagi kehidupan manusia karena bisa menyebabkan gangguan pendengaran, kognitif, mental, dan kesehatan lainnya. @Paragraf di atas menggunakan pola pengembangan paragraf ....;Definisi;Deduktif;Sebab akibat;Induktif;C;3;PG4;Soal Bacaan
Salah satu langkah yang bisa ditempuh supaya para remaja peduli lingkungan adalah dengan meningkatkan kepedulian terhadap lingkungan. Sebagai contoh, melalui kegiatan pencinta alam. Kegiatan pencinta alam dapat meningkatkan kepedulian remaja terhadap lingkungan alam. Kecintaan remaja terhadap lingkungan alam tercermin pada sikap peduli terhadap lingkungan.  @Kata kunci dari paragraf tersebut adalah ...;Bentuk kepedulian lingkungan;Kepedulian remaja;Menjaga lingkungan;Pekerjaan remaja;B;3;PG4;Soal Bacaan
Proklamasi menjadikan perubahan dari bangsa yang merdeka. Proklamasi memberikan rasa bebas dan merdeka bagi rakyat Indonesia. Rakyat yang bebas dari belenggu penjajahan.  Setelah proklamasi, jiwa rakyat Indonesia menjadi terbebas. Semua rakyat bebas membangun kembali bangsa yang telah lama dijajah. Rakyat Indonesia bebas mengisi kemerdekaan dengan kegiatan yang bermanfaat.  @Kata Kunci yang sesuai dengan paragraf yang pertama adalah ....;Proklamasi, jiwa, indonesia;Proklamasi, perubahan, bangsa;Proklamasi, bebas, penjajah;Proklamasi, kemerdekaan;C;3;PG4;Soal Bacaan
Setiap bangsa pasti menginginkan kemerdekaan karena kemerdekaan merupakan cita-cita dan tujuan yang ingin dicapai. Begitu juga dengan bangsa indonesia. Bangsa indonesia pernah mengalami masa penjajahan cukup lama dan membuat rakyatnya menderita. Karena alasan itulah bangsa indonesia bekerja sama, bahu-membanhu dengan setiap tenaga berjuang untuk memperoleh kemerdekaannya.  @Judul yang sesuai untuk teks di atas adalah ....;Setiap bangsa pasti menginginkan kemerdekaan;Bangsa indonesia pernah mengalami masa penjajahan;Rakyat indonesia menderita;Bangsa indonesia bekerja sama untuk memperoleh kemerdekaan;D;3;PG4;Soal Bacaan
gempa juga dilaporkan mengguncang wilayah sumbawa dan sekitrnya. bahkan, terasa hingga pulau Lombok meski intensitasnya rendah. Gempa cukup besar dan terjadi bersusulan itu membuat warga ketakutan dan berhamburan keluar rumah. akibat gempa tersebut, banyak warga belum berani masuk rumah dan memilih tidur diluar.  @pokok informasi yang tidak ada dalam cuplikan tersebut adalah . . . .;peristiwa apa itu ?;kapan peristiwa itu terjadi?;mengapa peristiwa itu terjadi?;bagaimana proses kejadiannya?;D;3;PG4;Paturng
Budaya minum teh dan kopi di Indonesia sudah ada sejak dulu. Tingginya konsumsi teh dan kopi berbanding lurus dengan produksi limbah ampas keduannya. Hal ini mendorong seorang dosen desain interior, Rendy prayogi, untuk berkreasi membuat kolase dengan ampas teh dan kopi. Sukses membuat kerajinan kolase dari ampas teh dan kopi, Rendy melanjutkan percobaan menggunakan kulit telur dan batu alam.  @informasi yang sesuai dengan bacaan tersebut yaitu ...;Rendy Prayogi sukses membuat kerajinan kolase dari kulit telur dan batu alam;Rendy Prayogi sukses membuat kerajinan koalse dari ampas teh dan kopi;Makin tinggi konsumsi teh dan kopi, makin sedikit limbah ampasnya;Rendy Prayogi membuat kerajinan kolase dari ampas teh dan kopi karena budaya minum teh dan kopi di Indonesia sudah ada sejak dulu;B;3;PG4;Paturng
(1) Sumber daya alam hayati berupa tumbuhan dan hewan yang menjadi sumber makanan manusia. (2) Selain itu, tumbuhan dan hewan berperan untuk menjaga keseimbangan alam. (3) Bencana alam yang terjadi salah satunya karena keseimbangan alam terganggu. (4) Banjir di Jakarta terjadi karena sungai-sungai yang tidak dipelihara, dan dijadikan tempat pembuangan sampah.  @gagasan penjelas di dalam kuipan tersebut ditunjukan oleh nomor ...;1 dan 2;1 dan 3;1 dan 4;2 dan 3;D;3;PG4;Soal Bacaan
Korean Pop atau yang biasa disebut K-Pop adalah jenis musik populer yang berasal dari Korea Selatan. Demam K-Pop pun kini sudah mendunia, termasuk di Indonesia. Demam K-Pop di Indonesia dilatarbelakangi fenomena Piala Dunia Korea-Jepang 2002 yang berakhir dengan masuknya Korea Selatan sebagai kekuatan empat besar dunia. Jadi, K-Pop telah dikenal di Indonesia lebih kurang sepuluh tahun terakhir.  @Istilah populer berarti ....;Tidak dikenal oleh khalayak luas.;Dikenal dan disukai orang banyak.;Banyak dibicarakan orang.;Mendapat perhatian orang banyak.;B;3;PG4;Soal Bacaan
SD kami punya koperasi sekolah. Setiap anggota harus membayar simpanan pokok dan simpanan wajib. Simpanan itulah yang menjadi modal koperasi. @Pertanyaan yang tepat sesuai paragraf di atas adalah ...;Siapa sajakah anggota koperasi? ;Apa sajakah kewajiban anggota koperasi?;Apakah kamu anggota koperasi sekolah?;Berasal dari manakah modal koperasi sekolah?;D;3;PG4;Soal Bacaan
PT Eka Sari Lorena Transport Tbk mencatatkan bahwa keseluruhan nilai beban perusahaan dari layanan bus antarkota antarprovinsi (AKAP) itu lebih tinggi ketimbang pendapatan pada masa pandemi. PT Weha Transportasi Indonesia Tbk, perusahaan layanan bus pariwisata, mengemukakan terjadinya perubahan pendapatan dari Rp71,9 miliar menjadi Rp70,5 miliar. Perusahaan taksi PT Blue Bird Tbk, pendapatannya rontok 49,4 persen menjadi Rp2,1 triliun pada periode yang sama. Perusahaan taksi lain, PT Express Transindo Utama, berhasil menurunkan nilai kerugian pada 2020 lalu menjadi Rp53,2 miliar dari sebelumnya Rp276,1 miliar. @Pernyataan berikut ini yang tepat untuk dijadikan kesimpulan dari wacana tersebut adalah ...;Transportasi publik menjadi salah satu sektor usaha yang ikut terdampak pandemi Covid-19.;Pendapatan perusahaan bus pariwisata pada tahun pandemi menurun lebih dari 50 persen.;Selama masa Pembatasan Sosial Berskala Besar (PSBB), semua jenis transportasi darat mengalami kerugian.;Penurunan kinerja semua perusahaan transportasi antarprovinsi disebabkan karena pelaksanaan pembatasan sosial.;A;3;PG4;Soal Bacaan
